C00510065|01292013|1000|1|1000
C00432260|02252013|1000|1|1000
C00541326|01142013|650|1|650
C00329425|03122013|750|2|1500
C00108209|03312013|335|48|16117
C00349225|12062013|500|1|500
C00046474|10312013|210|120|29350
C00376376|12272013|208|1|208
C00040253|12112013|47|1|47
C00279216|12302013|416|1|416
C00401299|03312013|315|10|3086
C00084475|08312013|416|20|6676
C00348524|10312013|292|2|584
C00393173|01232013|325|1|325
C00083535|11302013|279|16|4708
C00076299|01142013|1000|1|1000
C00291914|10072013|269|1|269
C00000729|01252013|500|2|1000
C00017525|01222013|250|1|250
C00000422|01182013|500|7|3750
C00359539|01302013|1000|1|1000
C00076174|10012013|200|1|200
C00411769|01282013|1000|1|1000
C00178418|03262013|-1000|3|-2250
C00462374|11222013|250|1|250
C00370056|02262013|500|1|500
C00441014|10012013|1000|1|1000
C00519892|03202013|500|1|500
C00250720|10022013|250|1|250
C00012229|11072013|1000|1|1000
C00540211|03202013|15200|2|30400
C00336388|11262013|500|4|2250
C00506170|02142013|2500|1|2500
C00541482|02142013|250|1|250
C00497214|01232013|2500|1|2500
C00213512|09272013|2600|1|2600
C00470021|01312013|5000|1|5000
C00029348|11302013|416|1|416
C00026757|09222013|1000|1|1000
C00073056|02132013|500|1|500
C00262295|02282013|400|5|2000
C00075994|02222013|229|1|229
C00435933|10262013|250|5|1700
C00005249|12312013|300|6|2070
C00089136|12162013|750|2|1500
C00325332|10282013|3000|3|10000
C00452052|03292013|333|4|1216
C00161901|12312013|330|5|1560
C00214072|12172013|250|1|250
C00215285|03222013|403|1|403
C00034595|03152013|200|2|400
C00024869|10182013|334|15|5120
C00479998|01252013|300|1|300
C00492637|02062013|208|1|208
C00109546|02152013|204|4|816
C00395467|08152013|500|1|500
C00062646|10312013|200|30|7938
C00074096|10182013|208|16|3952
C00432963|10312013|200|1|200
C00003160|10312013|201|2|402
C00459099|11242013|250|1|250
C00510891|01012013|2000|1|2000
C00527424|03312013|2500|8|20000
C00456913|01232013|250|1|250
C00128231|12202013|5000|3|7250
C00151019|06262013|225|2|450
C00410720|12312013|250|1|250
C00502575|12282013|500|1|500
C00422964|12312013|500|1|500
C00409714|06112013|5000|1|5000
C00015552|01142013|1800|1|1800
C00304832|03152013|230|1|230
C00459529|02062013|5000|1|5000
C00330233|12312013|1300|2|2600
C00142711|06172013|5000|1|5000
C00410803|06042013|500|1|500
C00416594|10072013|1000|2|2000
C00515866|04092013|250|1|250
C00440362|11202013|500|9|7650
C00502088|01272013|500|8|4001
C00375618|01312013|375|2|750
C00311043|07312013|1000|1|1000
C00366096|08222013|500|1|500
C00390955|01152013|2000|1|2000
C00457556|07292013|250|1|250
C00398644|02162013|500|1|500
C00458976|12052013|2600|1|2600
C00509273|03022013|5224|1|5224
C00101105|01292013|300|1|300
C00498469|01112013|1500|1|1500
C00540658|01212013|1000|1|1000
C00540815|04042013|375|2|750
C00540914|03022013|250|1|250
C00082925|12072013|1750|2|3500
C00002766|10222013|300|6|1800
C00004812|01292013|208|1|208
C00244863|01162013|750|1|750
C00155952|11132013|250|1|250
C00202861|01242013|500|1|500
C00347385|12152013|5000|1|5000
C00501106|01312013|416|11|3695
C00324103|12272013|200|1|200
C00101485|10312013|293|6|1662
C00201863|01312013|400|1|400
C00174334|08272013|1500|1|1500
C00012468|12312013|208|1|208
C00131185|10162013|200|1|200
C00048702|01182013|416|6|2038
C00349902|01042013|250|1|250
C00098061|02122013|60|1|60
C00410274|01152013|295|2|590
C00452383|01022013|325|2|650
C00528380|02132013|1000|1|1000
C00388587|10302013|5000|1|5000
